Gene_Name	nextprot_accession	primary_isoform	Ensembl_Accession	RefSeq_Accession	Uniprot_Accession	Chromosome	Start	End	n_neXtProt_entry	Protein_existence	PeptideAtlas_Category	nobs	Description	accession
OEP37	AT2G43950.1	AT2G43950.1		NP_566003.1	O80565	2	18200553	18202644	1		canonical	42	 chloroplast outer envelope protein 37 	AT2G43950.1
Q9LFH7	AT3G53400.1	AT3G53400.1		NP_190908.1	Q9LFH7	3	19798526	19799926	1		canonical	5	 peptide upstream protein 	AT3G53400.1
SCC2	AT5G15540.1	AT5G15540.1		NP_001190317.1	A5HEI1	5	5047887	5057411	1		canonical	87	 PHD finger family protein 	AT5G15540.1
GGP2	AT4G30540.1	AT4G30540.1		NP_194783.1	Q9M0A6	4	14923327	14925075	1		subsumed by AT4G30530.1	3	 Class I glutamine amidotransferase-like superfamily protein 	AT4G30540.1
AAE1	AT1G20560.1	AT1G20560.1		NP_564116.1	F4HUK6	1	7119927	7121730	1		canonical	34	 acyl activating enzyme 1 	AT1G20560.1
CAF1A	AT1G06450.1	AT1G06450.1		NP_172133.1	Q9SHJ0	1	1965924	1967006	1		canonical	5	 Polynucleotidyl transferase%2C ribonuclease H-like superfamily protein 	AT1G06450.1
ACP4	AT4G25050.1	AT4G25050.1		NP_194235.1	Q9SW21	4	12870178	12871024	1		canonical	31	 acyl carrier protein 4 	AT4G25050.1
FB104	AT2G15640.1	AT2G15640.1		NP_179166.1	Q9ZQF0	2	6816792	6818072	1		not observed		 F-box family protein 	AT2G15640.1
RLF10	AT2G19020.1	AT2G19020.1		NP_179492.1	O65919	2	8246220	8246441	1		not observed		 ralf-like 10 	AT2G19020.1
Q944H1	AT4G10470.1	AT4G10470.1		NP_001328556.1	Q944H1	4	6476109	6477509	1		canonical	6	 hypothetical protein 	AT4G10470.1
Q94A92	AT1G75770.1	AT1G75770.1		NP_565117.1	Q94A92	1	28450022	28450971	1		not observed		 hypothetical protein 	AT1G75770.1
Q9SMN5	AT3G48640.1	AT3G48640.1		NP_001319710.1	Q9SMN5	3	18021650	18022324	1		not observed		 transmembrane protein 	AT3G48640.1
Q9ZU68	AT2G18530.1	AT2G18530.1		NP_179443.1	Q9ZU68	2	8039670	8040780	1		not observed		 Protein kinase superfamily protein 	AT2G18530.1
FBL57	AT3G58900.1	AT3G58900.1		NP_001030885.1	Q93ZX6	3	21773030	21774013	1		not observed		 F-box/RNI-like superfamily protein 	AT3G58900.1
Q84MB1	AT5G38020.1	AT5G38020.1		NP_198618.1	Q84MB1	5	15165953	15167612	1		canonical	39	 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	AT5G38020.1
A0A1P8AP96	AT1G59790.2	AT1G59790.2		NP_001320902.1	A0A1P8AP96	1	22001504	22003462	1		canonical	3	 Cullin family protein 	AT1G59790.2
Q5S4X7	AT2G22650.1	AT2G22650.1		NP_850027.2	Q5S4X7	2	9624703	9626931	1		canonical	12	 FAD-dependent oxidoreductase family protein 	AT2G22650.1
Q9LW16	AT3G15630.1	AT3G15630.1		NP_566521.1	Q9LW16	3	5297188	5297511	1		marginally distinguished	2	 plant/protein 	AT3G15630.1
Q9FXK6	AT1G24996.1	AT1G24996.1		NP_173882.1	Q9FXK6	1	8799520	8800410	1		not observed		 hypothetical protein 	AT1G24996.1
F4J9K9	AT3G05900.1	AT3G05900.1		NP_187241.2	F4J9K9	3	1761408	1763854	1		canonical	232	 neurofilament protein-like protein 	AT3G05900.1
APBLA	AT5G11490.1	AT5G11490.1		NP_196710.1	Q9LDK9	5	3671964	3676144	1		canonical	116	 adaptin family protein 	AT5G11490.1
C71AM	AT3G48310.1	AT3G48310.1		NP_680110.1	Q9STL1	3	17888192	17889749	1		canonical	32	 cytochrome P450%2C family 71%2C subfamily A%2C polypeptide 22 	AT3G48310.1
B3H614	AT4G08406.1	AT4G08406.1		NP_001118950.1	B3H614	4	5331769	5331909	1		not observed		 transmembrane protein 	AT4G08406.1
CAB6	AT3G54890.1	AT3G54890.1		NP_191049.1	Q01667	3	20339706	20340922	1		canonical	138	 chlorophyll a-b binding protein 6 	AT3G54890.1
Y5371	AT5G63710.1	AT5G63710.1		NP_001330851.1	Q8W4S5	5	25499475	25502598	1		canonical	20	 Leucine-rich repeat protein kinase family protein 	AT5G63710.1
PIRL1	AT5G05850.1	AT5G05850.1		NP_196204.1	Q9FFJ3	5	1762691	1764609	1		canonical	25	 plant intracellular ras group-related LRR 1 	AT5G05850.1
	AT2G01045.1	AT2G01045.1				2	53326	54468	1		identical to AT2G01035.1	1	 hypothetical protein 	AT2G01045.1
